ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status
,CORE,Finalize V1 control-plane and runtime boundary,"Lock the shared control plane vs dedicated runtime plane boundary for V1 and turn the trust assumptions into implementation rules. Acceptance: one environment model, one isolation policy, and one deployment ownership model are agreed and documented.",Backlog,,high,,openclaw-ruh,,,"platform,runtime,mvp",,,,,,,,,,,,,,,
,CORE,Define the core Ruh.ai data model,"Define stable V1 entities for tenant, runtime environment, workspace, employee template, employee instance, work item, task, artifact, approval, and deployment. Acceptance: schema set supports platform services and pack contracts without vertical-specific fields.",Backlog,,high,,openclaw-ruh,,,"platform,workflow,artifact,mvp",,,,,,,,,,,,,,,
,CORE,Build the template and pack registry,"Implement versioned storage and retrieval for employee templates, packs, workflow templates, policy profiles, and connector presets. Acceptance: packs can be published, versioned, and resolved by the deployment compiler.",Backlog,,high,,openclaw-ruh,,,"platform,pack-system,mvp",,,,,,,,,,,,,,,
,CORE,Implement the deployment compiler,"Build the deterministic compiler that renders pack plus overlay plus policy inputs into deployable OpenClaw runtime bundles. Acceptance: dry-run preview, compatibility checks, manifest output, and rollback bundle generation all work.",Backlog,,high,,openclaw-ruh,,,"platform,runtime,pack-system,mvp",,,,,,,,,,,,,,,
,CORE,Implement the runtime manager,"Track gateway health, applied bundle state, runtime inventory, drift, and deployment status per trust boundary. Acceptance: deployments can be applied, observed, and rolled back without manual state reconstruction.",Backlog,,medium,,openclaw-ruh,,,"platform,runtime,observability,mvp",,,,,,,,,,,,,,,
,CORE,Implement the workflow orchestrator,"Model work as typed task graphs with explicit inputs, outputs, retries, deadlines, assignments, and escalations. Acceptance: the orchestrator advances workflow state without relying on transcripts as business state.",Backlog,,high,,openclaw-ruh,,,"platform,workflow,mvp",,,,,,,,,,,,,,,
,CORE,Implement the artifact service,"Store structured outputs, lineage, receipts, and cross-workflow references for every employee result. Acceptance: artifacts can be versioned, linked to work items, and replayed during audits and evals.",Backlog,,medium,,openclaw-ruh,,,"platform,artifact,mvp",,,,,,,,,,,,,,,
,CORE,Implement the policy and approval service,"Centralize risk tiers, approval routing, override logging, and protected-action enforcement for V1. Acceptance: medium and high-risk actions are blocked unless policy allows them or a named approver authorizes them.",Backlog,,high,,openclaw-ruh,,,"platform,approvals,mvp",,,,,,,,,,,,,,,
,CORE,Implement the secrets broker,"Introduce scoped secret references, short-lived leases, and audit logs for connector and runtime credentials. Acceptance: no pack or overlay requires raw credentials in source control or workspace files.",Backlog,,high,,openclaw-ruh,,,"platform,secrets,connector,mvp",,,,,,,,,,,,,,,
,CORE,Implement observability and eval scoring,"Capture run telemetry, quality samples, cost data, and eval outcomes in one service. Acceptance: the team can measure completion rate, approval quality, failure rate, and cost per workflow by pack and tenant.",Backlog,,medium,,openclaw-ruh,,,"platform,observability,evals,mvp",,,,,,,,,,,,,,,
